PROGRAMA;CONCURSO;FOLIO;PALABRAS_CLAVES
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150131;"AGROECOSISTEMAS;ECOLOGÍA DEL PAISAJE-BIODIVERSIDAD;SOSTENIBILIDAD AGROECOSISTEMAS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150138;"PRODUCCIÓN DE CARNE;CALIDAD DE CARNE;TECNOLOGÍAS DE ANÁLISIS NO DESTRUCTIVAS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150027;"BIODIVERSIDAD ANTÁRTICA Y SUBANTÁRTICA;BIOINFORMATICA;GESTIÓN DE BASE DE DATOS;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150136;"ARQUEOMETRIA;ARQUEOLOGÍA ;PATRIMONIO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150003;"ARGUMENTATIVE COMPETENCE;LINGUISTICS;EDUCATION;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150001;"MÉTODOS AUDIOVISUALES DE INVESTIGACIÓN;MÉTODOS DIGITALES DE INVESTIGACIÓN;TERRITORIO;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150090;"BENCHMARKING ;PRACTICAS ;DESEMPEÑO ;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150047;"BIODIVERSIDAD;SUSTENTABILIDAD;FORMACIÓN DE CAPACIDADES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150014;"BIOREFINERÍA;BIOMASA ALGAL;BIOCOMBUSTIBLES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150011;"BIORREMEDIACIÓN DE AMBIENTES NATURALES;MODELAMIENTO MATEMÁTICO;TEORÍA DE CONTROL;"
PCI;PROYECTOS INTERNACIONALES DE INVESTIGACIÓN. CONVOCATORIA 2015;PII20150073;"PROTEÍNA BIP;TRANSLOCACIÓN;MOLECULA INDIVIDUAL;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150089;"BLOCK CAVING;MODELIZACIÓN NUMÉRICA;FLUJO DE MATERIALES;"
PCI;PROYECTOS DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN CONVOCATORIA 2015.;REDES150118;"CFD;BIOREACTOR;MODELO MATEMÁTICO;"
