CODIGO_BECA;AGNO_FALLO;TIPO_INSTRUMENTO;PALABRAS_CLAVE
81160256;2016;ASISTENCIA A EVENTOS;"GENETICA  ; GENETICA DE POBLACIONES "
81180010;2018;ASISTENCIA A EVENTOS;"HISTORIA POR EPOCAS ; HISTORIA MODERNA ; ARQUITECTURA Y URBANISMO  ; DISEÑO ARQUITECTONICO  ; ARQUITECTURA Y URBANISMO ; PATRIMONIO ARQUITECTONICO Y URBANO"
81180011;2018;ASISTENCIA A EVENTOS;"NEUROCIENCIAS ; NEUROQUIMICA"
81180015;2018;ASISTENCIA A EVENTOS;"MECANICA ; MECANICA DE MEDIOS CONTINUOS ; BIOFISICA ; BIOMECANICA"
81180023;2018;ASISTENCIA A EVENTOS;"TEORIA Y METODOS EDUCATIVOS ; EVALUACION DE ALUMNOS ; PSICOLOGIA EDUCACIONAL Y ESCOLAR ; PSICOPEDAGOGIA  ; PROBLEMAS DE APRENDIZAJE"
81180027;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA DE MATERIALES ; PROPIEDADES DE LOS MATERIALES"
81180029;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA DE MATERIALES ; RESISTENCIA DE MATERIALES"
81180039;2018;ASISTENCIA A EVENTOS;"INMUNOLOGIA  ; ANTIGENOS ; INMUNOLOGIA  ; REACCION ANTIGENO;ANTICUERPO ; MICROBIOLOGIA  ; BACTERIOLOGIA"
81180046;2018;ASISTENCIA A EVENTOS;"OCEANOGRAFIA ; OCEANOGRAFIA BIOLOGICA ; OCEANOGRAFIA ; BOTANICA MARINA  ; OCEANOGRAFIA ; OCEANOGRAFIA ACUICULTURA MARINA"
81180049;2018;ASISTENCIA A EVENTOS;"MECANICA ; MECANICA DE MEDIOS CONTINUOS ; MECANICA ; MECANICA DE SOLIDOS ; BIOFISICA ; BIOMECANICA"
81180051;2018;ASISTENCIA A EVENTOS;"FARMACOLOGIA  ; EVALUACION DE MEDICAMENTOS"
81180054;2018;ASISTENCIA A EVENTOS;"BIOLOGIA VEGETAL (BOTANICA)  ; ECOLOGIA VEGETAL"
81180055;2018;ASISTENCIA A EVENTOS;"CIENCIAS POLITICAS ; SOCIOLOGIA POLITICA ; CONFLICTOS SOCIALES  ; SOCIOLOGIA EXPERIMENTAL ; METODOS DE INVESTIGACION SOCIAL"
81180062;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA DE LAS TELECOMUNICACIONES ; REDES INALAMBRICAS MODERNAS"
81180065;2018;ASISTENCIA A EVENTOS;"PATOLOGIA ; PATOLOGIA EXPERIMENTAL ; PATOLOGIA ; NEUROPATOLOGIA"
81180068;2018;ASISTENCIA A EVENTOS;"MATEMATICA ; SISTEMAS DINAMICOS Y TEORIA ERGODICA"
81180071;2018;ASISTENCIA A EVENTOS;"SOCIOLOGIA CULTURAL ; SOCIOLOGIA DEL DERECHO "
81180075;2018;ASISTENCIA A EVENTOS;"TEORIA, ANALISIS Y CRITICA LITERARIAS ; ANALISIS LITERARIO"
81180079;2018;ASISTENCIA A EVENTOS;"CIENCIA FORESTAL  ; CONSERVACION"
81180081;2018;ASISTENCIA A EVENTOS;"QUIMICA AMBIENTAL ; QUIMICA MACROMOLECULAR  ; MODIFICACION DE MACROMOLECULAS ; QUIMICA MACROMOLECULAR  ; POLIELECTROLITOS"
81180084;2018;ASISTENCIA A EVENTOS;"SOCIOLOGIA CULTURAL ; SOCIOLOGIA DE LA RELIGION "
81180089;2018;ASISTENCIA A EVENTOS;"TECNOLOGIA DE LOS SISTEMAS DE TRANSPORTE  ; SISTEMAS DE TRANSITO URBANO  ; PLANIFICACION URBANA ; TRANSPORTE  ; PLANIFICACION URBANA ; MEDIO URBANO"
81180090;2018;ASISTENCIA A EVENTOS;"FILOSOFIA SOCIAL ; FILOSOFIA POLITICA "
