PROGRAMA;NOMBRE_CONCURSO;CODIGO_PROYECTO;PALABRAS_CLAVES
FONDECYT;FONDECYT REGULAR 2016;1160001;"PROPIEDADES;UNIVERSALES;TROPOS"
FONDECYT;FONDECYT REGULAR 2016;1160004;"INTEGRAL POINTS;NERON CLASS GROUPS;SPHERICAL VARIETIES"
FONDECYT;FONDECYT REGULAR 2016;1160005;"SATISFACCION CON LA VIDA;FAMILIA;ALIMENTACION"
FONDECYT;FONDECYT REGULAR 2016;1160013;"METALLOTHIONEINS;PHYTOCHELATINS;COPPER ACCUMULATION"
FONDECYT;FONDECYT REGULAR 2016;1160015;"SJÖGRENS'S SYNDROME;ALTERED UNFOLDED PROTEIN RESPONSE;EPIGENETIC MECHANISMS"
FONDECYT;FONDECYT REGULAR 2016;1160017;"DICTADURA MILITAR ;DERECHAS;EUROPA OCCIDENTAL"
FONDECYT;FONDECYT REGULAR 2016;1160018;"ENVIRONMENTAL MEDIA;BIOMONITORING;TRACE ELEMENTS"
FONDECYT;FONDECYT REGULAR 2016;1160019;"CULTURA LATINOAMERICANA;SEGUNDA MODERNIDAD;SIGLO XX"
FONDECYT;FONDECYT REGULAR 2016;1160025;"LOCATION;COMPETITIVE;AGGLOMERATION"
FONDECYT;FONDECYT REGULAR 2016;1160026;"DESERT ECOLOGY;PLANT - ANIMAL INTERACTIONS;TROPHIC INTERACTIONS"
FONDECYT;FONDECYT REGULAR 2016;1160027;"CRONICA CONTEMPORANEA;LITERATURA Y PERIODISMO;MAL "
FONDECYT;FONDECYT REGULAR 2016;1160030;"IMPLICIT CONSTITUTIVE RELATIONS;DISSIPATIVE MEDIA;ROCK MECHANICS"
FONDECYT;FONDECYT REGULAR 2016;1160031;"COMUNISMO CHILENO;FRENTE POPULAR;MOVIMIENTO POPULAR"
FONDECYT;FONDECYT REGULAR 2016;1160037;"EMPIRICAL CORPORATE FINANCE;BUSINESS GROUPS;IDENTIFICATION STRATEGY"
FONDECYT;FONDECYT REGULAR 2016;1160043;"KIR7.1;CHOROID PLEXUS;CILIARY BODY OF THE EYE"
FONDECYT;FONDECYT REGULAR 2016;1160045;"FRONTERA;INTERCAMBIOS;INTERCULTURALIDAD"
FONDECYT;FONDECYT REGULAR 2016;1160046;"PARAPSYCHOLOGY;TECHNOLOGY;EVIDENCE"
FONDECYT;FONDECYT REGULAR 2016;1160048;"INDUSTRY EVOLUTION;SUPPLY-SIDE ISOLATING MECHANISMS;RECESSIONS"
FONDECYT;FONDECYT REGULAR 2016;1160050;"ESTUDIOS DE RECEPCION;FICCION TELEVISIVA;MEMORIA"
FONDECYT;FONDECYT REGULAR 2016;1160051;"TELLURITE;TOXICITY;ANAEROBIC"
FONDECYT;FONDECYT REGULAR 2016;1160060;"TUBULIN BINDING AGENTS;COMPUTATIONAL DRUG DESIGN;LIGAND-PROTEIN INTERACTIONS"
FONDECYT;FONDECYT REGULAR 2016;1160061;"GREENHOUSE GASES;IONIC LIQUIDS;CO2 RECOVERING"
FONDECYT;FONDECYT REGULAR 2016;1160066;"GREY SYSTEMS THEORY;FUZZY COGNITIVE MAPS;DECISION SUPPORT SYSTEMS"
FONDECYT;FONDECYT REGULAR 2016;1160072;"HEIDEGGER, MARCUSE, ADORNO;INTERPRETACION;CRITICA"
FONDECYT;FONDECYT REGULAR 2016;1160076;"DEVELOPMENTAL NEUROBIOLOGY;GENETICS;NEUROENDOCRINOLOGY"
FONDECYT;FONDECYT REGULAR 2016;1160079;"PRICING;MECHANISM DESIGN;STRATEGIC CONSUMERS"
FONDECYT;FONDECYT REGULAR 2016;1160080;"TRYPANOSOMA CRUZI;MEPRAIA;STARVATION, FEEDING."
FONDECYT;FONDECYT REGULAR 2016;1160094;"RELACIONES DE COHERENCIA;TEXTOS ESCOLARES;PROCESAMIENTO PSICOLINGÜISTICO"
FONDECYT;FONDECYT REGULAR 2016;1160096;"VANGUARDIA CHILENA;POESIA ;POETAS CHILENAS DE LA VANGUARDIA"
FONDECYT;FONDECYT REGULAR 2016;1160097;"""YO PUEDO-YO HAGO"";ETICA HERMENEUTICA;FUNDAMENTOS ONTO-ANTROPOLOGICOS"
FONDECYT;FONDECYT REGULAR 2016;1160098;"RELACIONES INTERNACIONALES;INTEGRACION REGIONAL;RELACIONES VECINALES"
